# The element -> attribute-name dataset vilan-ide's element-head completion
# is generated from (tracker E69). GENERATED FILE -- do not hand-edit.
#
# refresh:   python3 scripts/regen-html-attributes.py --fetch   (network)
# consumer:  crates/vilan-ide/src/html_attributes_sync.rs   (TSV -> Rust)
#            the ONE implementation of that arrow (N107). It renders
#            html_attributes.rs from these rows and diffs it byte for byte on
#            every `cargo test`, offline; VILAN_REGENERATE_HTML_ATTRIBUTES=1
#            rewrites the table instead of failing.
#
# `element` is a tag name, `*` (every element) or `svg:*` (every SVG-shaped
# element). A row with an EMPTY attribute registers the tag and nothing else.
# Only names a vilan element head can spell are extracted: a namespaced entry
# (`xml:space`) has no head spelling, and an SVG `on…` row is an event handler,
# which the `*`/html-event-handler-index rows carry in their own spelling.
#
# fetched:   2026-09-17
# source:    https://html.spec.whatwg.org/multipage/indices.html
#            sha256 6153c9adfca5a155a57f3afa17f66d71d830d54df2525b4710dd800348c4bdef
# source:    https://www.w3.org/TR/SVG2/attindex.html
#            sha256 d008a1b62808268bfda853659e425554f6fbc9b2e3f415bc2b6aad437712bd50
#
# element	attribute	source
feDisplacementMap	tabindex	svg-attribute-index
feDisplacementMap	width	svg-attribute-index
feDisplacementMap	x	svg-attribute-index
feDisplacementMap	xChannelSelector	svg-attribute-index
feDisplacementMap	y	svg-attribute-index
feDisplacementMap	yChannelSelector	svg-attribute-index
feDistantLight		svg-element-index
feDistantLight	azimuth	svg-attribute-index
feDistantLight	class	svg-attribute-index
feDistantLight	elevation	svg-attribute-index
feDistantLight	id	svg-attribute-index
feDistantLight	lang	svg-attribute-index
feDistantLight	style	svg-attribute-index
feDistantLight	tabindex	svg-attribute-index
feDropShadow		svg-element-index
feDropShadow	class	svg-attribute-index
feDropShadow	dx	svg-attribute-index
feDropShadow	dy	svg-attribute-index
feDropShadow	height	svg-attribute-index
feDropShadow	id	svg-attribute-index
feDropShadow	in	svg-attribute-index
feDropShadow	lang	svg-attribute-index
feDropShadow	result	svg-attribute-index
feDropShadow	stdDeviation	svg-attribute-index
feDropShadow	style	svg-attribute-index
feDropShadow	tabindex	svg-attribute-index
feDropShadow	width	svg-attribute-index
feDropShadow	x	svg-attribute-index
feDropShadow	y	svg-attribute-index
feFlood		svg-element-index
feFlood	class	svg-attribute-index
feFlood	height	svg-attribute-index
feFlood	id	svg-attribute-index
feFlood	lang	svg-attribute-index
feFlood	result	svg-attribute-index
feFlood	style	svg-attribute-index
feFlood	tabindex	svg-attribute-index
feFlood	width	svg-attribute-index
feFlood	x	svg-attribute-index
feFlood	y	svg-attribute-index
feFuncA		svg-element-index
feFuncA	amplitude	svg-attribute-index
feFuncA	class	svg-attribute-index
feFuncA	exponent	svg-attribute-index
feFuncA	id	svg-attribute-index
feFuncA	intercept	svg-attribute-index
feFuncA	lang	svg-attribute-index
feFuncA	offset	svg-attribute-index
feFuncA	slope	svg-attribute-index
feFuncA	style	svg-attribute-index
feFuncA	tabindex	svg-attribute-index
feFuncA	tableValues	svg-attribute-index
feFuncA	type	svg-attribute-index
feFuncB		svg-element-index
feFuncB	amplitude	svg-attribute-index
feFuncB	class	svg-attribute-index
feFuncB	exponent	svg-attribute-index
feFuncB	id	svg-attribute-index
feFuncB	intercept	svg-attribute-index
feFuncB	lang	svg-attribute-index
feFuncB	offset	svg-attribute-index
feFuncB	slope	svg-attribute-index
feFuncB	style	svg-attribute-index
feFuncB	tabindex	svg-attribute-index
feFuncB	tableValues	svg-attribute-index
feFuncB	type	svg-attribute-index
feFuncG		svg-element-index
feFuncG	amplitude	svg-attribute-index
feFuncG	class	svg-attribute-index
feFuncG	exponent	svg-attribute-index
feFuncG	id	svg-attribute-index
feFuncG	intercept	svg-attribute-index
feFuncG	lang	svg-attribute-index
feFuncG	offset	svg-attribute-index
feFuncG	slope	svg-attribute-index
feFuncG	style	svg-attribute-index
feFuncG	tabindex	svg-attribute-index
feFuncG	tableValues	svg-attribute-index
feFuncG	type	svg-attribute-index
feFuncR		svg-element-index
feFuncR	amplitude	svg-attribute-index
feFuncR	class	svg-attribute-index
feFuncR	exponent	svg-attribute-index
feFuncR	id	svg-attribute-index
feFuncR	intercept	svg-attribute-index
feFuncR	lang	svg-attribute-index
feFuncR	offset	svg-attribute-index
feFuncR	slope	svg-attribute-index
feFuncR	style	svg-attribute-index
feFuncR	tabindex	svg-attribute-index
feFuncR	tableValues	svg-attribute-index
feFuncR	type	svg-attribute-index
feGaussianBlur		svg-element-index
feGaussianBlur	class	svg-attribute-index
feGaussianBlur	edgeMode	svg-attribute-index
feGaussianBlur	height	svg-attribute-index
feGaussianBlur	id	svg-attribute-index
feGaussianBlur	in	svg-attribute-index
feGaussianBlur	lang	svg-attribute-index
feGaussianBlur	result	svg-attribute-index
feGaussianBlur	stdDeviation	svg-attribute-index
feGaussianBlur	style	svg-attribute-index
feGaussianBlur	tabindex	svg-attribute-index
feGaussianBlur	width	svg-attribute-index
feGaussianBlur	x	svg-attribute-index
feGaussianBlur	y	svg-attribute-index
feImage		svg-element-index
feImage	class	svg-attribute-index
feImage	crossorigin	svg-attribute-index
feImage	height	svg-attribute-index
